Ticker,Continent,Currency,Exchange,Name,Type
IUS8.BE,Europe,EUR,BER,ISHS EM MK INFR G-C,ETF
PWC.PA,Europe,EUR,PAR,POWSHS DYN US USD,ETF
ROOF,America,USD,PCX,IQ U.S. Real Estate Small Cap ETF,ETF
GLDL,America,USD,PCX,Direxion Daily Gold Bull 3X ETF,ETF
XD9U.SG,Europe,EUR,STU,DBX USA USD-1C-AC,ETF
IS0M.F,Europe,EUR,FRA,ISHS ITL GOV B G-CT,ETF
11824015.DU,Europe,EUR,DUS,HSBC MSCI PACI G-CT,ETF
EXM-A.TO,America,CAD,TOR,F A MORNINGSTAR EMERG COMP BD I,ETF
DXS5.SG,Europe,EUR,STU,DBXT MSCI AC AJ 1C,ETF
XEMD.MI,Europe,EUR,MIL,DBXT MSCI EMSD 1C,ETF
PFF.MX,America,MXN,MEX,ISH SP US PRFST,ETF
WOMV.MI,Europe,EUR,MIL,OL WMV UE1CC,ETF
EXV3.BE,Europe,EUR,BER,ISHSEU600TECHN,ETF
DX2J.DU,Europe,EUR,DUS,DBXT MSCI EU SM 1C,ETF
77UR.L,Europe,USD,LSE,RELIANCE/HSBC 16,ETF
TOLZ,America,USD,PCX,ProShares DJ Brookfield Global Infras,ETF
EUDV.MI,Europe,EUR,ISE,SPDR S&P; Euro Div Aristocrats ETF,ETF
ALFA,America,USD,PCX,AlphaClone Alternative Alpha ETF,ETF
DX2J.DE,Europe,EUR,GER,DBXT MSCI EU SM 1C,ETF
REW.MX,America,MXN,MEX,PRSH ULSHT TCHNOLGY,ETF
JBSIUA.SW,Europe,USD,EBS,JB PHYSSILVER A ,ETF
C030.F,Europe,EUR,FRA,COMS SMI IC,ETF
TCGLL-20.TA,Asia,ILS,TLV,GLL/TACHLIT GL S20,ETF
36HF.L,Europe,USD,LSE,ORDS/HSBC 17,ETF
IEAC.SW,Europe,EUR,ISE,iShares Core Euro Corporate Bond,ETF
EXX5.BE,Europe,EUR,BER,ISHS DJ US SLDV,ETF
11202645.SW,Europe,CHF,EBS,L U ETF S SMI C CHF,ETF
C543.BE,Europe,EUR,BER,COMS IGCC 7-10 IC,ETF
H4ZD.DE,Europe,USD,ISE,HSBC MSCI USA ETF,ETF
IS0E.F,Europe,EUR,FRA,ISHS GLD PRD G-CT,ETF
UEFY.SG,Europe,EUR,STU,UBS ETF SBIF1-5 AD,ETF
O057.L,Europe,EUR,LSE,ISHARES PLC ISHARES DJ STOXX SM,ETF
SEF,America,USD,PCX,ProShares Short Financials,ETF
DX2S.DU,Europe,EUR,DUS,DBX ASX 200 1C,ETF
2968024.F,Europe,USD,FRA,BAYERNLB CAP TR VRN,ETF
48PM.L,Europe,USD,LSE,TAMWEEL/HSBC 15 ELN,ETF
SEA,America,USD,PCX,Claymore/Delta Global Shipping,ETF
CRPH.SW,Europe,EUR,ISE,iShares Glbl Corp Bd EUR Hdgd,ETF
X03C.F,Europe,EUR,FRA,DBX SOV EUR 3-5 1DD,ETF
DX2S.DE,Europe,EUR,GER,DBX ASX 200 1C,ETF
X16705.TI,Europe,EUR,TLO,BSKT/MS 18 VR,ETF
IRCP.L,Europe,EUR,LSE,iShares Euro Corp Bd Interest Rate Hdgd,ETF
